Location,Lifeline Subscribers (as of July 2021),"EBB Participants (as of August 26, 2021)",Estimated number of prequalified households that aren't enrolled,EBB div Lifeline
SOUTH DAKOTA,6238.0,2378,3860.0,0.381211926899647
PUERTO RICO,462661.0,198654,264007.0,0.429372694045965
NEW JERSEY,97460.0,45148,52312.0,0.463246460086189
CALIFORNIA,1242787.0,600453,642334.0,0.483150370900243
NORTH DAKOTA,5075.0,2565,2510.0,0.505418719211823
MASSACHUSETTS,90974.0,54522,36452.0,0.599314089739926
CONNECTICUT,58311.0,36900,21411.0,0.632813705818799
NEW MEXICO,67729.0,45237,22492.0,0.667911825067549
NEW YORK,436866.0,292044,144822.0,0.668497891802063
OKLAHOMA,135815.0,95341,40474.0,0.701991679858631
PENNSYLVANIA,238144.0,170377,67767.0,0.715436878527278
DELAWARE,10280.0,7445,2835.0,0.724221789883268
DISTRICT OF COLUMBIA,15593.0,11342,4251.0,0.727377669467069
MARYLAND,96780.0,72597,24183.0,0.750123992560446
ILLINOIS,167180.0,125704,41476.0,0.751908122981218
WEST VIRGINIA,48488.0,37108,11380.0,0.765302755320904
IOWA,43304.0,33596,9708.0,0.775817476445594
ARIZONA,138295.0,108560,29735.0,0.784988611301927
OREGON,50374.0,39881,10493.0,0.791698098225275
VERMONT,6722.0,5442,1280.0,0.809580481999405
MISSISSIPPI,58567.0,47572,10995.0,0.812266293305104
RHODE ISLAND,17871.0,14799,3072.0,0.828101393318785
GEORGIA,199294.0,167942,31352.0,0.842684676909491
VIRGINIA,96335.0,81772,14563.0,0.848829605024135
WASHINGTON,103398.0,88074,15324.0,0.851795972842802
ARKANSAS,59410.0,51768,7642.0,0.871368456488807
MINNESOTA,57922.0,51223,6699.0,0.884344463243673
UTAH,20349.0,18189,2160.0,0.893852277753207
MICHIGAN,185893.0,168727,17166.0,0.907656555115039
LOUISIANA,142003.0,128982,13021.0,0.908304754124913
TENNESSEE,104381.0,95529,8852.0,0.915195294162731
MAINE,17132.0,16561,571.0,0.966670558020079
NEW HAMPSHIRE,6831.0,6699,132.0,0.980676328502415
NEVADA,62520.0,61523,997.0,0.984053103007038
KENTUCKY,130863.0,130638,225.0,0.998280644643635
INDIANA,109177.0,110170,-993.0,1.00909532227484
COLORADO,52879.0,53495,-616.0,1.01164923693716
FLORIDA,313594.0,318721,-5127.0,1.01634916484372
WISCONSIN,90670.0,95437,-4767.0,1.05257527296791
KANSAS,29209.0,30949,-1740.0,1.05957068026978
SOUTH CAROLINA,86876.0,93128,-6252.0,1.07196463925595
OHIO,261028.0,286128,-25100.0,1.09615826654612
IDAHO,9975.0,10949,-974.0,1.09764411027569
MISSOURI,76797.0,91239,-14442.0,1.188054220868
TEXAS,272090.0,323382,-51292.0,1.18851115439744
NORTH CAROLINA,131072.0,172908,-41836.0,1.31918334960938
ALABAMA,71554.0,95757,-24203.0,1.338248036448
HAWAII,7149.0,10104,-2955.0,1.41334452370961
ALASKA,21181.0,31237,-10056.0,1.47476511968273
NEBRASKA,4687.0,15080,-10393.0,3.21740985705142
MONTANA,2243.0,7723,-5480.0,3.44315648684797
WYOMING,357.0,2329,-1972.0,6.52380952380952
USA,6222383.0,4868157,1354226.0,0.782362159320633
